id,Benefit,Frequency,Rank
0,Bữa sáng,229,1
1,Wifi miễn phí,167,2
2,Bãi đậu xe,153,3
3,Nước uống chào đón,142,4
4,Nhận phòng nhanh,75,5
5,Phòng tập miễn phí,64,6
6,Phòng tập,46,7
7,Vào hồ bơi miễn phí,11,8
8,Wifi cao cấp miễn phí,7,9
9,Nhận phòng trễ,6,10
10,Thuê xe máy,6,11
11,Giảm giá spa,6,12
12,Bao gồm bữa tối,4,13
13,Free mini bar,3,14
14,Trả phòng muộn,3,15
15,Thuê xe đạp,2,16
16,Bữa sáng món chay,2,17
17,Nhận phòng sớm,2,18
18,Khử trùng phòng,2,19
19,Đưa ra sân bay,2,20
20,Car rental,2,21
21,Pool,1,22
22,Free sauna access,1,23
23,Giảm giá đồ ăn uống,1,24
24,Limited housekeeping,1,25
25,Local Bữa sáng,1,26
26,Quà miễn phí,1,27
27,Meeting Room,1,28
28,Bike rental,1,29
29,Afternoon tea,1,30
30,Vegetarian Bữa sáng,1,31
31,All Inclusive,1,32
